Last Name,First Name,DOB,SEX M/F,Race,#In Home,Zip,Phone,Service Date,"SRF Done (1=Yes, 0=No)",Service Requested/Provided,Staff (Initials),"Need Met (Y,N,P)","UOS (.25, .5, .75, 1)",Notes
Duke,Daisy,1982-06-22,F,C,0,61571,309-234-3221,2018-06-11,,,C,Y,.25,
Krause,Jiffany,1991-03-25,F,C,2,61661,309-543-3421,2018-06-11,,,MF,Y,.25,
Krause,Jiffany,1991-03-25,F,C,2,61661,309-543-3421,2018-06-11,,,JS,Y,.25,
Fletcher,Matthew,1971-06-02,M,C,0,61611,309-345-3546,2018-06-08,,,C,Y,.25,
Fletcher,Matthew,1971-06-02,M,C,0,61611,309-345-3546,2018-06-08,,,M,Y,.25,
Fletcher,Matthew,1971-06-02,M,C,0,61611,309-345-3546,2018-06-08,,,M,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,M,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,M,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,M,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,M,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,S,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,C,Y,.25,
Fletcher,Matthew,1994-06-26,M,C,0,61611,309-345-3546,2018-06-08,,,C,Y,.25,
